"Geographic Label","Indicator Variable","Indicator Category","Indicator Category Label","Estimate","95% Confidence Interval","Sample Size","Suppressed Flag","Timeframe"
"National","RSV_CHILD_GRP4","3","Definitely will get an RSV vaccine (among children <8 months old)","43.0389","31.6 - 54.4","192","0","08/18/2024-08/31/2024"
"National","RSV_CHILD_GRP4","4","Probably will get an RSV vaccine or unsure (among children <8 months old)","46.3055","33.2 - 59.5","192","0","08/18/2024-08/31/2024"
"National","RSV_CHILD_GRP4","5","Probably will not or definitely will not get an RSV vaccine (among children <8 months old)","10.6557","2.9 - 18.4","192","0","08/18/2024-08/31/2024"
"National","RSV_CHILD_GRP4","3","Definitely will get an RSV vaccine (among children <8 months old)","52.6786","41.3 - 64.0","431","0","09/01/2024-09/28/2024"
"National","RSV_CHILD_GRP4","4","Probably will get an RSV vaccine or unsure (among children <8 months old)","38.7102","28.0 - 49.4","431","0","09/01/2024-09/28/2024"
"National","RSV_CHILD_GRP4","5","Probably will not or definitely will not get an RSV vaccine (among children <8 months old)","8.6112","3.6 - 13.6","431","0","09/01/2024-09/28/2024"
"National","PROT_INF_GRP5_APR","2","Mother received RSV vaccination during pregnancy and infant did not receive nirsevimab","0.1748","0.0 - 0.5","268","0","09/29/2024-10/26/2024"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","29.9263","20.8 - 39.1","268","0","09/29/2024-10/26/2024"
"National","PROT_INF_GRP5_APR","3","Definitely will get nirsevimab for infant","33.5654","23.6 - 43.6","268","0","09/29/2024-10/26/2024"
"National","PROT_INF_GRP5_APR","4","Probably will get nirsevimab for infant or unsure","28.3836","18.2 - 38.5","268","0","09/29/2024-10/26/2024"
"National","PROT_INF_GRP5_APR","5","Probably or definitely will not get nirsevimab for infant","7.9499","4.5 - 11.4","268","0","09/29/2024-10/26/2024"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","46.1323","34.9 - 57.4","344","0","12/01/2024-12/28/2024"
"National","PROT_INF_GRP5_APR","2","The mother received RSV vaccination during pregnancy and the infant did not receive nirsevimab","6.8539","1.1 - 12.6","344","0","12/01/2024-12/28/2024"
"National","PROT_INF_GRP5_APR","3","Definitely will get infant nirsevimab","9.5746","4.4 - 14.8","344","0","12/01/2024-12/28/2024"
"National","PROT_INF_GRP5_APR","4","Probably will get infant nirsevimab or unsure","24.6318","13.5 - 35.7","344","0","12/01/2024-12/28/2024"
"National","PROT_INF_GRP5_APR","5","Probably will not or definitely will not get infant nirsevimab","12.8074","5.0 - 20.6","344","0","12/01/2024-12/28/2024"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","46.6453","38.5 - 54.7","336","0","12/29/2024-01/25/2025"
"National","PROT_INF_GRP5_APR","2","The mother received RSV vaccination during pregnancy and the infant did not receive nirsevimab","13.9871","8.0 - 20.0","336","0","12/29/2024-01/25/2025"
"National","PROT_INF_GRP5_APR","3","Definitely will get infant nirsevimab","12.7117","7.4 - 18.0","336","0","12/29/2024-01/25/2025"
"National","PROT_INF_GRP5_APR","4","Probably will get infant nirsevimab or unsure","15.4566","8.8 - 22.1","336","0","12/29/2024-01/25/2025"
"National","PROT_INF_GRP5_APR","5","Probably will not or definitely will not get infant nirsevimab","11.1993","8.5 - 13.9","336","0","12/29/2024-01/25/2025"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","37.9517","28.4 - 47.5","401","0","10/27/2024-11/30/2024"
"National","PROT_INF_GRP5_APR","2","The mother received RSV vaccination during pregnancy and the infant did not receive nirsevimab","6.6937","0.0 - 13.8","401","0","10/27/2024-11/30/2024"
"National","PROT_INF_GRP5_APR","3","Definitely will get infant nirsevimab","17.9084","10.9 - 25.0","401","0","10/27/2024-11/30/2024"
"National","PROT_INF_GRP5_APR","4","Probably will get infant nirsevimab or unsure","30.3564","21.6 - 39.1","401","0","10/27/2024-11/30/2024"
"National","PROT_INF_GRP5_APR","5","Probably will not or definitely will not get infant nirsevimab","7.0898","3.2 - 11.0","401","0","10/27/2024-11/30/2024"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","50.4268","40.3 - 60.5","368","0","01/26/2025-02/22/2025"
"National","PROT_INF_GRP5_APR","2","The mother received RSV vaccination during pregnancy and the infant did not receive nirsevimab","14.6827","9.5 - 19.9","368","0","01/26/2025-02/22/2025"
"National","PROT_INF_GRP5_APR","3","Definitely will get infant nirsevimab","7.368","3.7 - 11.0","368","0","01/26/2025-02/22/2025"
"National","PROT_INF_GRP5_APR","4","Probably will get infant nirsevimab or unsure","14.5543","6.0 - 23.1","368","0","01/26/2025-02/22/2025"
"National","PROT_INF_GRP5_APR","5","Probably will not or definitely will not get infant nirsevimab","12.9681","5.6 - 20.4","368","0","01/26/2025-02/22/2025"
"National","PROT_INF_GRP5_APR","1","Infant received nirsevimab","44.7482","35.9 - 53.6","653","0","02/23/2025-03/31/2025"
"National","PROT_INF_GRP5_APR","2","The mother received RSV vaccination during pregnancy and the infant did not receive nirsevimab","12.2985","7.4 - 17.2","653","0","02/23/2025-03/31/2025"
"National","PROT_INF_GRP5_APR","3","Definitely will get infant nirsevimab","11.5994","6.1 - 17.1","653","0","02/23/2025-03/31/2025"
"National","PROT_INF_GRP5_APR","4","Probably will get infant nirsevimab or unsure","20.0192","12.9 - 27.1","653","0","02/23/2025-03/31/2025"
"National","PROT_INF_GRP5_APR","5","Probably will not or definitely will not get infant nirsevimab","11.3347","5.4 - 17.2","653","0","02/23/2025-03/31/2025"
