"Week_Ending_Date","Race and Ethnicity","Percent","Denominator","Date Order","Race Sort Order","Figure_ID"
"2023 Sep 30 12:00:00 AM","American Indian / Alaska Native, NH","0","49","1","1","1"
"2023 Sep 30 12:00:00 AM","Asian, NH","0","2,811","1","2","1"
"2023 Sep 30 12:00:00 AM","Black, NH","0","1,265","1","3","1"
"2023 Sep 30 12:00:00 AM","Hispanic/Latino","0","6,809","1","4","1"
"2023 Sep 30 12:00:00 AM","Multiple/Other, NH","0","714","1","5","1"
"2023 Sep 30 12:00:00 AM","Native Hawaiian / Pacific Islander, NH","0","115","1","6","1"
"2023 Sep 30 12:00:00 AM","Overall","0","18,580","1","7","1"
"2023 Sep 30 12:00:00 AM","Unknown","0","815","1","8","1"
"2023 Sep 30 12:00:00 AM","White, NH","0","6,002","1","9","1"
"2023 Oct 07 12:00:00 AM","American Indian / Alaska Native, NH","0","58","2","1","1"
"2023 Oct 07 12:00:00 AM","Asian, NH","0","3,214","2","2","1"
"2023 Oct 07 12:00:00 AM","Black, NH","0","1,474","2","3","1"
"2023 Oct 07 12:00:00 AM","Hispanic/Latino","0","7,785","2","4","1"
"2023 Oct 07 12:00:00 AM","Multiple/Other, NH","0.1","828","2","5","1"
"2023 Oct 07 12:00:00 AM","Native Hawaiian / Pacific Islander, NH","0","132","2","6","1"
"2023 Oct 07 12:00:00 AM","Overall","0.1","21,237","2","7","1"
"2023 Oct 07 12:00:00 AM","Unknown","0.1","953","2","8","1"
"2023 Oct 07 12:00:00 AM","White, NH","0.1","6,793","2","9","1"
"2023 Oct 14 12:00:00 AM","American Indian / Alaska Native, NH","0","69","3","1","1"
"2023 Oct 14 12:00:00 AM","Asian, NH","0.1","3,640","3","2","1"
"2023 Oct 14 12:00:00 AM","Black, NH","0","1,694","3","3","1"
"2023 Oct 14 12:00:00 AM","Hispanic/Latino","0","8,746","3","4","1"
"2023 Oct 14 12:00:00 AM","Multiple/Other, NH","0.3","935","3","5","1"
"2023 Oct 14 12:00:00 AM","Native Hawaiian / Pacific Islander, NH","0","146","3","6","1"
"2023 Oct 14 12:00:00 AM","Overall","0.1","23,849","3","7","1"
"2023 Oct 14 12:00:00 AM","Unknown","0.2","1,067","3","8","1"
"2023 Oct 14 12:00:00 AM","White, NH","0.3","7,552","3","9","1"
"2023 Oct 21 12:00:00 AM","American Indian / Alaska Native, NH","1.3","77","4","1","1"
"2023 Oct 21 12:00:00 AM","Asian, NH","0.2","4,064","4","2","1"
"2023 Oct 21 12:00:00 AM","Black, NH","0.2","1,927","4","3","1"
"2023 Oct 21 12:00:00 AM","Hispanic/Latino","0","9,751","4","4","1"
"2023 Oct 21 12:00:00 AM","Multiple/Other, NH","0.6","1,046","4","5","1"
"2023 Oct 21 12:00:00 AM","Native Hawaiian / Pacific Islander, NH","0","162","4","6","1"
"2023 Oct 21 12:00:00 AM","Overall","0.3","26,555","4","7","1"
"2023 Oct 21 12:00:00 AM","Unknown","0.7","1,189","4","8","1"
"2023 Oct 21 12:00:00 AM","White, NH","0.7","8,339","4","9","1"
